customerNickname,helpfulNo,helpfulYes,imagesCount,languageCode,postedDate,productId,ratingValue,reviewText,score,Mask_Name,Type,Size,Design,Pack,product_price
iHerb Customer,0,0,0,he-IL,2021-01-26,101691,50,Stunning and also a fabric that can be breathed in. I ordered from several colors and they are all great,1611683655.669,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2021-01-26,101691,30,You can hardly breathe with them ... fabric does not breathe,1611647762.708,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-26,101691,20,"Not a fan. These look like cloth diapers, especially the pink and white splotched one looks a bit gory. But visuals  do not matter comparrd to effectiveness.  

I found the cotton to be so similar to the weave of a cloth diaper as well, a very loose weave so particles get through.  
I will not give these away because I don't want others to think they are safe. 
A bit scratchy as well.
I have worn these UNDER a medical mask when shopping indoors in ordwr to get a little more protection.  

I wish iHerb had some more reusable mask options.  
",1611632016.637,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2021-01-25,101691,50,"Comfortable, beautiful and effective masks🙏🏼",1611568313.839,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2021-01-25,101691,50,I like it because it&#39;s easy to breathe and the cotton feels good.,1611536671.394,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2021-01-23,101691,50,"Great design, cotton, not stuffy when using",1611404132.225,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-22,101691,50,"first I used disposable ones, but they made my face break out. then I found these masks and my skin can breath easily in them. and I myself can breath in them too.
easy to wash, I recommend.",1611279064.697,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2021-01-21,101691,50,"Wonderful! Soft, comfortable and beautiful masks!",1611212304.424,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-21,101691,50,Nice soft fabric - also helpful for keeping warm in a cold winter. ,1611206642.502,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-21,101691,30,The one I received was poorly made. It had some loose strings. The material used is not very breathable in hot humid climate. Cute colours and patterns tho. I've not seen them anywhere else.,1611195713.51,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2021-01-19,101691,50,"Comfortable muslin masks, wash well, breathe well.",1611075350.885,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2021-01-19,101691,30,"It is easy to wrinkle, but it is easy to use.",1611050019.034,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-19,101691,50,"Very cute. They are made of what reminds me of muslin swaddle blankets, but a bunch of layers of them. Moderately thick, breathable. Extremely stretchy ear loops. Unfortunately catches dog fur veryy easily so I can’t  really use them since I would be picking up my mask to constantly itch my face and try to pull those suckers out. But if you don’t have shedding pets I bet they’re great!",1611036012.156,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2021-01-18,101691,50,Excellent and beautiful,1610991526.57,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2021-01-18,101691,50,Cozy cotton fabric! Beautiful colors,1610985724.122,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2021-01-18,101691,50,It looked cute and was comfortable to use.,1610934559.511,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Michalgw,0,0,0,en-US,2021-01-17,101691,50,I use them on everyday basis. Just perfect. ,1610909283.835,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,5,0,ru-RU,2020-12-20,101691,50,"I liked these masks, they are thick, they have about three layers, but they breathe well, they are more suitable for a small face, I washed them many times and everything is ok!",1610427416.259,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2021-01-09,101691,50,Love it!! The only mask I can breathe with.,1610198516.061,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,1,ja-JP,2021-01-09,101691,30,I bought it because the design was cute. The fabric seems to shrink when washed with thin gauze. I&#39;m going to use it with a filter inside.,1610171922.5,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,1,en-US,2021-01-04,101691,50,Perfect!!!!!!!,1610156003.736,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2021-01-05,101691,50,"Masks are what you need, soft, pleasant to the touch, you even want to wear them always !!! Nice design, high-quality cotton, I took it again for a gift, everyone is happy with the purchase !!!",1609868546.64,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Tallula,0,0,0,ru-RU,2021-01-04,101691,40,"First, the masks are very pretty. The colors are pleasant, the fabric is soft. Thick enough - actually thicker than I expected and imagined. For this reason, for example, I often get hot in them. Another point is that they are small in size and fit tighter to the face than standard pharmacy masks. However, this will wear less makeup underneath because they are very soft. If you have a small face and have never suffered from the heat under the mask - take it without fail, you will not regret it! But even if you are not a Thumbelina and appreciate the coolness, I think you will not regret it anyway, because they are cute and pleasant to the touch. I wear it with pleasure and, by the way, until I met anyone in the same mask :)",1609789334.514,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
KatrinSolntce,0,4,0,ru-RU,2020-12-14,101691,50,"The reality of 2020 is the need to wear a mask if you want to participate in any kind of social life. We are not discussing its effectiveness - I see no point in this. Let&#39;s discuss the pleasant fabric, ease of use and the ability to change the mask every day. These cute pieces of fabric are perfectly washed in warm water and dry on a hot battery in 10 minutes. Therefore, personally, it&#39;s easier for me to spend money once and no longer bother about where to get masks.",1609502071.606,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-31,101691,50,All the face  masks are great. Light and soft. ,1609420612.094,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,1,ru-RU,2020-12-30,101691,50,"I use these masks. I like it, it&#39;s easy to breathe. Reusable. Wash and carry on.",1609364986.873,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2020-12-29,101691,50,cute.,1609241172.289,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-28,101691,50,Great ,1609151787.19,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-27,101691,50,Excellent breathers do not irritate the skin,1609051115.995,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,1,en-US,2020-12-22,101691,50,Nice,1609047855.294,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-27,101691,50,"They are definitely thick but you can breathe through it well. I wear these on my 10 hour shifts. They fit well on my petite face. I do find that the string hurt my ears after around 4 hours though but I haven't found many masks that don't do that. The colours are a bit less vibrant in person but they are still lovely. Overall, I am very happy with them!",1609047025.964,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-26,101691,40,good and beautiful but thick ,1608979422.84,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,he-IL,2020-12-20,101691,50,"I ordered in almost all colors a comfortable, breathable and wonderful mask",1608863599.687,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,ar-SA,2020-12-20,101691,50,Excellent quality,1608823026.215,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,1,he-IL,2020-12-24,101691,50,Great for those who care about the environment,1608803976.914,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,en-US,2020-12-19,101691,50,"Very nice touch, like a babies muslin.",1608780247.465,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,he-IL,2020-12-19,101691,30,Nice product I did not particularly fall. It can not be said that it is super comfortable and there is no big difference between it and a regular disposable mask,1608776932.467,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,ru-RU,2020-12-18,101691,50,Very stylish and high quality,1608699045.079,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,ru-RU,2020-12-18,101691,40,"I&#39;m honestly not a fan of masks, but, you know, now it&#39;s a necessity. These are the most comfortable: soft, breathable, do not irritate the skin (the material is suitable and light-colored, does not heat up)",1608683232.159,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-22,101691,50,This is my second purchase of these but different colors. I like the muslin-like material and they are comfortable and fit my face nicely.,1608602238.918,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-21,101691,20,"I was expecting something kind of like fleece, for winter walks. They’re just plain cotton, unlined. They’re just ok, I would not order these. Also no nosepiece to secure the mask.",1608511019.621,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-20,101691,10,"A thick, breathless mask",1608495855.383,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,3,2,ja-JP,2020-12-05,101691,40,"It is a gauze-like fabric and is thick. It doesn&#39;t have a nose wire, but it fits your face relatively well. I think the size is about the regular size of a mask you buy in Japan. Below the photo is Iris Ohyama&#39;s pleated mask. There is a frayed thread and a smell,",1608318373.71,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-17,101691,50,Great,1608176118.014,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-15,101691,40,"Love these masks, but some may find them tight on the ears. I had originally bought these for my mom, but she found them too uncomfortable. These fit my face well, but I have noticed that they have been shrinking in the wash, so that may become an issue later down the road for me as well. Love the designs, and find them to work well in the colder cooler months.",1608004746.54,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-14,101691,20,The masks are quite small in size. Also they did not feel safe or effective - I could feel my breath when putting my palm in front of my mouth as I breathed out,1607978327.275,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-14,101691,40,i love them ,1607970418.265,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-13,101691,50,"That’s good!!
So cute and  comfortable ",1607854768.992,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-13,101691,40,Very nice non-suffocating mask,1607849551.356,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-12,101691,50,great mask. became smaller in the drier mashing .. ,1607786240.267,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2020-12-12,101691,50,"Beautiful, comfortable reusable masks!",1607774529.958,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-12,101691,50,Worth buying! It's soft on the skin AND THE PRINTS ARE SO CUTE. Will definitely buy the other designs.,1607733748.095,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-11,101691,50,"The masks are comfortable, pleasant, wash great. recommended!",1607719542.977,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2020-12-10,101691,50,It&#39;s cute and the size is just right.,1607635631.23,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-10,101691,50,"Pleasant, airy masks, easy to wash.",1607631024.334,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Erez Opincaru,0,0,0,en-US,2020-12-10,101691,50,"A very fashionable mask, pleasant to the touch and facial skin, especially during the corona period. It is highly recommended",1607613737.597,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-10,101691,50,.,1607575145.142,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-09,101691,50,"Perfect, recommend to everyone",1607535939.424,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-05,101691,50,"Very comfortable masks, easy to breath.
I’m using them every day.",1607174662.37,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-04,101691,30,Less good than the surgical structure is difficult to breathe,1607095828.241,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-12-04,101691,50,Great for those who have sensitive skin!,1607092049.009,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-02,101691,50,"nice 
",1606940895.253,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-12-02,101691,50,Great masks. Easy to breath through and clean!,1606940352.441,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-11-23,101691,40,"Nice, prefers the disposable - does not feel confident with them",1606151103.461,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-11-22,101691,30,"Cute masks, comfortable fabric but if sweaty it absorbs and you want to switch it up... NOT good for glasses wearers..",1606024225.401,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2020-11-21,101691,40,"face masks are good for us girls at this time, relevant to all health",1605922987.51,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-11-14,101691,50,"Not itches the skin, feels very good, way better than the paper ones",1605347599.6669998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-11-12,101691,50,"Very pleasant on the face, I started using clay and the second mask was scratching the wounds. There is no problem with this here.",1605211522.3969998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-11-12,101691,50,Great breathable masks and cute colors,1605139637.779,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ja-JP,2020-11-11,101691,40,"I bought it because I thought it was unique and cute. I don&#39;t like the paper mask because my skin is weak, but I think it has been improved here.",1605065779.654,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-27,101691,50,"Very comfortable masks, breathable, and pretty. The band does not hurt the ears. ",1603826537.426,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-24,101691,50,"Comfortable, multiple layers, generous ear loops (twist to fit smaller faces). I found it easy to breathe and am asthmatic. hey do shrink in the wash and could be ironed but I just wash and wear just fine.",1603580284.732,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-10-24,101691,40,"I bought the masks on sale and the price was very cheap, they are very high quality and soft, 100% cotton and three layers, a little thick for my taste but, I really liked.",1603536234.349,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
NanoxBeauty,0,0,0,ar-SA,2020-10-21,101691,50,"Its fabric is thick, sweet and comfortable in winter, and its size is appropriate",1603320121.1109998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,es-MX,2020-10-17,101691,30,"-Difficult to spread, poorly absorbed + very pleasant smell",1602974944.852,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,1,en-US,2020-10-12,101691,50,"The quality is high. I love the fabric, it’s comfortable. The only problem is that you can’t change the size of the mask ",1602895609.953,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,1,en-US,2020-10-11,101691,50,"This masks are so cute, they r thick enough to protect but also breathable, and especially they don't hurt the ear, the colours are beautiful i totally recommend. ",1602769742.465,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,1,0,0,en-US,2020-10-17,101691,30,"It’s ok, the only problem with this mask is that because it’s made of cloth it won’t protect us from viruses. Otherwise the color and material is good",1602588880.751,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-12,101691,30,"The reason why i gave 3 stars is the masks looks soft, it wasn't and some were smaller than others. Not comfortable ",1602461431.8409998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
KavynovskayY,0,0,0,ru-RU,2020-10-11,101691,50,High quality and beautiful masks. Sits comfortably on the face.,1602436306.8739998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
MichalEliad,0,1,1,he-IL,2020-10-06,101691,50,"We used to buy clothes… Now fashion has come to fabric masks. My skin does not tolerate any mask other than cotton. If we are already destined to walk around with masks, then let them be made of cotton and beautiful. They all fly on my leopard masks from the previous set I bought at Ayurveda, mostly on the dark leopard. I also ordered the pink set. There are 3 sets to choose from. Each set has 3 100% cotton masks, 3 layers of fabric, washable. The sets: 1. The most beautiful set for me, tiger samples in two shades (see photo) plus one black that does not appear here 2. The pink set that appears in the photo. The pink part is very useful and suitable for any outfit. 3. Another set I will buy in the future",1602353786.909,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-10-10,101691,40,The child is in love with us a little less,1602326357.924,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-10,101691,50,Very soft on the face and easy to wash,1602318347.668,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-09,101691,50,"Very comfortable, even in hot and humid days. Easy to wash in regular laundry.
Looks great as well. It’s my third order and as long as COVID is here it’s probably not the last.",1602278110.432,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-10-09,101691,50,"Very beautiful and pleasant to the face, does not cause sores on the face.",1602275721.069,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,ru-RU,2020-10-09,101691,50,"Soft, cotton, many one-off, comfortable, also beautiful! Decent purchase!",1602259089.4989998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-10-08,101691,20,Hard to breathe and does not hold up on the face. Falls all the time.,1602178965.349,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Kseniasitcher,0,0,0,he-IL,2020-10-07,101691,50,"Second time I order the masks from this company, excellent as news after washing",1602083139.5909998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-05,101691,40,"Nice quality and colours, but the masks are too thick to breath and the design a bit bulky. ",1601924647.75,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-10-05,101691,50,So pretty and comfortable ,1601890753.061,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,1,0,0,ru-RU,2020-10-09,101691,10,Just a rag,1601874705.33,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,he-IL,2020-10-04,101691,50,Do not hurt the ears,1601821358.6339998,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Eden32,0,0,0,en-US,2020-10-03,101691,50,Good cotton mask ,1601755944.737,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
Jennylyub,0,0,0,en-US,2020-09-30,101691,50,Very good quality and great colors. Love it!,1601489247.625,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,1,0,en-US,2020-09-25,101691,40,"They’re cute colors. They’re thick and warm, so not recommended in the summer. On some, the straps get so long and loose that I can tie a knot and secure it all the way around my head and it doesn’t irritate my ears. But on one I stretched it too much trying to tie a knot in it, and broke the elastic. I can fix it. I also bought the black and brown leopard print set, they’re also cute. ",1601381419.218,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-09-17,101691,50,Great,1600302789.562,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,0,0,en-US,2020-09-10,101691,50,perfect 🥇,1599733520.73,Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,17.72
iHerb Customer,0,16,0,en-US,2021-01-15,102455,50,"As they have already written, the mask is for a small face - a child or a woman. The design is good, and I especially like the system for tightening around the ears. Reduces the delivery price.",1616975411.261,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,16,0,en-US,2021-01-13,102455,50,"The mask fits well on the face. It's small for an adult and doesn't prefer it, but that's exactly what I like because it doesn't interfere with breathing.",1616729259.238,Now Foods, Face Mask,S_M,Grey,1,2.95
Ilove Health,0,1,1,ru-RU,2021-02-04,102455,50,"for me all masks are big, so this is a great solution when there is no very close contact with people you can use and breathe easily, it is very convenient to adjust",1612833456.126,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,0,0,en-US,2021-02-05,102455,50,Comfortable mask with a pleasant reusable design.,1612558713.982,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,0,0,en-US,2021-02-04,102455,50,One of the best things that can be said about this mask is that it reduces the cost of delivery.,1612471144.68,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,0,0,en-US,2021-02-04,102455,50,Nice and comfortable mask that does not make it difficult to breathe. Suitable for woman or child.,1612443052.998,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,0,0,ru-RU,2021-01-31,102455,50,"A comfortable mask against fines, stylish, cotton, I have no desire to cover my whole face with a mask, so this is just such a mask.",1612107205.01,Now Foods, Face Mask,S_M,Grey,1,2.95
iHerb Customer,0,0,0,en-US,2021-01-31,102455,50,Very lightweight soft cotton mask without rubber straps. Extremely comfortable to wear and easy to wash. ,1612069129.387,Now Foods, Face Mask,S_M,Grey,1,2.95
